neuron_id;owner_id;created_ts_ns;duration_to_dissolution_ns;staked_icpt;earnings;follows;not_for_profit;memo;maturity_e8s_equivalent;kyc_verified
1;xz7xb-e726u-vsihc-fukxg-pfzzd-3cjix-gluc6-p4shw-sz4aw-ufgi3-yqe;0;15780000000000000;0;C;;false;0;0;false
2;mccsf-b32dl-n42k3-57eqk-6fnii-ojxhg-ukyw7-cstu4-4u3eq-s64id-pqe;0;15780000000000000;0;C;;false;0;100000000;false
3;apudj-s5mmx-ddrec-sawcm-gsc5c-52sdk-4fs3k-ftmay-omsbn-t27lg-zae;0;15780000000000000;0;C;;false;0;500000000;false
4;so5fh-cx7bf-jhqti-t77pu-uxt2p-x7mb5-ybpkg-sp32z-m7lfw-4n7gy-cae;0;15780000000000000;0;C;;false;0;1000000000;false
5;fy5ch-dwxhf-gffsr-z7eum-7iqom-t727t-roth5-zxp7t-6n5di-mtkzo-7qe;0;15780000000000000;0;C;;false;0;10000000000;false
6;se4ei-zaxs6-lnq3z-oo6bp-ci2ed-isads-fe2by-pnjrj-i5fsp-sorcl-uqe;0;15780000000000000;0;C;;false;0;100000000000;false
7;e6xcz-i3oe4-3gp2e-w2g6u-vtdey-sb6dw-vzh5m-2qb4l-dc6ff-to6ll-5qe;0;15780000000000000;0;C;;false;0;1000000000000;false
8;72sl6-z6gmp-tuvar-hngo2-7gjov-jn43j-omkrv-2wx6k-fzcgj-sujmh-zae;0;15780000000000000;0;C;;false;0;10000000000000;false
9;2z6y4-6y7zq-vporp-tiumu-j3qhw-6og2g-sxvxh-e57qp-aevbm-gacrr-yae;0;15780000000000000;0;C;;false;0;100000000000000;false
10;3uigu-x6rsf-lwlyz-fauii-ewr7t-7vcmr-cfbcs-pye3t-oyh3o-5v23u-iae;0;15780000000000000;0;C;;false;0;200000000000000;false
449479075714955186;b2ucp-4x6ou-zvxwi-niymn-pvllt-rdxqr-wi4zj-jat5l-ijt2s-vv4f5-4ae;0;31536000000000000;100;D;;false;0;10000000000;false
1;wbwzc-u46i3-pqajn-qyf3c-2if5a-pesnh-fjqey-ea7lt-423pi-dodwc-3qe;0;15780000000000000;900000000;C;;false;0;500000000;false
2;2elhs-22gfw-pnuvy-xkwyf-ex4ul-2f7hl-ryto2-4wpot-krafc-dmd5n-mqe;0;15780000000000000;5000000000;C;;false;0;5000000000;false
3;gkjt6-mrdog-6ty7c-cpzib-ufedt-naxia-hou34-ty7cv-t3knr-vqwsy-lqe;0;15780000000000000;50000000000;C;;false;0;50000000000;false
4;outvi-luzu7-2npss-xnloj-32g5a-j46rv-ggsxl-q43vi-edgg7-vonbo-fqe;0;15780000000000000;500000000000;C;;false;0;500000000000;false
5;hi325-n2sl3-yjeo3-giz4a-lpbxh-c5i7a-6boac-a6kmp-3uqrb-wj4ks-3ae;0;15780000000000000;5000000000000;C;;false;0;5000000000000;false
6;ixmps-ip732-nk5vz-6gjms-v6e5u-6xwqv-crfd6-62a7s-qy2fz-yykq5-zqe;0;15780000000000000;50000000000000;C;;false;0;50000000000000;false
